DO,12,Sech
DO,13,El Alfa
DO,14,Bad Bunny
DO,15,J Alvarez,Casper Magico
DO,16,Rafa Pabön
DO,17,Alexis y Fido,Baby Rasta & Gringo
DO,18,Ñengo Flow,John Jay
DO,19,Corina Smith,Lyanno
DO,20,Ir Sais
DO,21,Cauty,Brray
DO,22,Joyce Santana,Big Soto
DO,23,BiSH
DO,24,Pabllo Vittar
DO,25,Lunay,Myke Towers,Ozuna
DO,26,Rauw Alejandro,Dalex,Lenny Tavárez
DO,27,Lary Over,Rauw Alejandro,Lil Geniuz
DO,28,Lola Indigo,Rauw Alejandro,Lalo Ebratt
DO,29,Camilo
DO,30,J Balvin
DO,31,Dalex
DO,32,Chimbala,Juan Magán,Omar Montes
DO,33,Jorge Milliano,Logan Romero
DO,34,Pabllo Vittar,Thalia
DO,35,Bizarrap,Don Patricio
DO,36,Mau y Ricky
DO,37,Leebrian,Cauty,Rauw Alejandro
DO,38,El Alfa,Lil Pump
DO,39,Ozuna
DO,40,Logan Romero
DO,41,Mark B.,Lunay,Lirico En La Casa
DO,42,J Balvin
DO,43,Ricky Martin,Residente,Bad Bunny
DO,44,Brytiago,Myke Towers
DO,45,Liro Shaq
DO,46,Lunay
DO,47,Diamond la Mafia,Atomic Otro Way,Bulova
DO,48,MC Davo
DO,49,Ozuna
DO,50,Chucho Rivas,Lalo Ebratt
EC,1,Camilo
EC,2,Kings of Leon
EC,3,C. Tangana
EC,4,Briela Ojeda
EC,5,Diamante Eléctrico
EC,6,Christian Löffler
EC,7,Kevin Roldan
EC,8,Maluma
EC,9,Anuel AA,Ozuna
EC,10,Danna Paola
EC,11,ZAYN
EC,12,Death Cab for Cutie
EC,13,MY FIRST STORY
EC,14,Bad Bunny
EC,15,Miley Cyrus
EC,16,The Smashing Pumpkins
EC,17,MIEL
EC,18,Kali Uchis
EC,19,Megan Thee Stallion
EC,20,Ava Max
EC,21,Los Auténticos Decadentes
EC,22,Nanpa Básico
EC,23,BENEE
EC,24,Aya Nakamura
EC,25,Kylie Minogue
EC,26,TIMØ
EC,27,Billo's
EC,28,Cauty
EC,29,Little Mix
EC,30,Ariana Grande
EC,31,Sam Smith
EC,32,Danna Paola
EC,33,Ela Minus
EC,34,Gorillaz
EC,35,Major Lazer
EC,36,boy pablo
EC,37,Bruce Springsteen
EC,38,Arcangel
EC,39,Matt Berninger
EC,40,Kevin Morby
EC,41,beabadoobee
EC,42,Linkin Park
EC,43,Future Islands
EC,44,Lolabúm
EC,45,Melanie C
EC,46,Bon Jovi
EC,47,Deftones
EC,48,IDLES
EC,49,Feid
EC,50,Christian Nodal
SV,1,Christian Löffler
SV,2,MY FIRST STORY
SV,3,Vicente Fernández
SV,4,C. Tangana,Niño de Elche,La Húngara
SV,5,Cauty
SV,6,Amenazzy,Mau y Ricky,Yandel
SV,7,Arcangel
SV,8,Maluma
SV,9,Ozuna
SV,10,De La Ghetto
SV,11,Anuel AA
SV,12,Sech
SV,13,El Alfa
SV,14,Bad Bunny
SV,15,J Alvarez,Casper Magico
SV,16,Rafa Pabön
SV,17,Alexis y Fido,Baby Rasta & Gringo
SV,18,Ñengo Flow,John Jay
SV,19,Corina Smith,Lyanno
SV,20,Ir Sais
SV,21,Cauty,Brray
SV,22,Joyce Santana,Big Soto
SV,23,BiSH
SV,24,Pabllo Vittar
SV,25,Lunay,Myke Towers,Ozuna
SV,26,Rauw Alejandro,Dalex,Lenny Tavárez
SV,27,Lary Over,Rauw Alejandro,Lil Geniuz
SV,28,Lola Indigo,Rauw Alejandro,Lalo Ebratt
SV,29,Camilo
SV,30,J Balvin
SV,31,Dalex
SV,32,Chimbala,Juan Magán,Omar Montes
SV,33,Jorge Milliano,Logan Romero
SV,34,Pabllo Vittar,Thalia
SV,35,Bizarrap,Don Patricio
SV,36,Mau y Ricky
SV,37,Leebrian,Cauty,Rauw Alejandro
SV,38,El Alfa,Lil Pump
SV,39,Ozuna
SV,40,Logan Romero
SV,41,Mark B.,Lunay,Lirico En La Casa
SV,42,J Balvin
SV,43,Ricky Martin,Residente,Bad Bunny
SV,44,Brytiago,Myke Towers
SV,45,Lunay
SV,46,Diamond la Mafia,Atomic Otro Way,Bulova
SV,47,MC Davo
SV,48,Ozuna
SV,49,Chucho Rivas,Lalo Ebratt
SV,50,Jonas Brothers
GT,1,Christian Löffler
GT,2,MY FIRST STORY
GT,3,Vicente Fernández
GT,4,C. Tangana,Niño de Elche,La Húngara
GT,5,Cauty
GT,6,Amenazzy,Mau y Ricky,Yandel
GT,7,Arcangel
GT,8,Maluma
GT,9,Ozuna
GT,10,De La Ghetto
GT,11,Anuel AA
GT,12,Sech
GT,13,El Alfa
GT,14,Bad Bunny
GT,15,J Alvarez,Casper Magico
GT,16,Rafa Pabön
GT,17,Alexis y Fido,Baby Rasta & Gringo
GT,18,Ñengo Flow,John Jay
GT,19,Corina Smith,Lyanno
GT,20,Ir Sais
GT,21,Cauty,Brray
GT,22,Joyce Santana,Big Soto
GT,23,BiSH
GT,24,Pabllo Vittar
GT,25,Lunay,Myke Towers,Ozuna
GT,26,Rauw Alejandro,Dalex,Lenny Tavárez
GT,27,Lary Over,Rauw Alejandro,Lil Geniuz
GT,28,Lola Indigo,Rauw Alejandro,Lalo Ebratt
GT,29,Camilo
GT,30,J Balvin
GT,31,Dalex
GT,32,Chimbala,Juan Magán,Omar Montes
GT,33,Jorge Milliano,Logan Romero
GT,34,Pabllo Vittar,Thalia
GT,35,Bizarrap,Don Patricio
GT,36,Mau y Ricky
GT,37,Leebrian,Cauty,Rauw Alejandro
GT,38,El Alfa,Lil Pump
GT,39,Ozuna
GT,40,Logan Romero
GT,41,Mark B.,Lunay,Lirico En La Casa
GT,42,J Balvin
GT,43,Ricky Martin,Residente,Bad Bunny
GT,44,Brytiago,Myke Towers
GT,45,Lunay
GT,46,Diamond la Mafia,Atomic Otro Way,Bulova
GT,47,MC Davo
GT,48,Ozuna
GT,49,Chucho Rivas,Lalo Ebratt
GT,50,Jonas Brothers
HN,1,Christian Löffler
HN,2,MY FIRST STORY
HN,3,Vicente Fernández
HN,4,C. Tangana,Niño de Elche,La Húngara
HN,5,Cauty
HN,6,Amenazzy,Mau y Ricky,Yandel
HN,7,Arcangel
HN,8,Maluma
HN,9,Ozuna
HN,10,De La Ghetto
HN,11,Anuel AA
HN,12,Sech
HN,13,El Alfa
HN,14,Bad Bunny
HN,15,J Alvarez,Casper Magico
HN,16,Rafa Pabön
HN,17,Alexis y Fido,Baby Rasta & Gringo
HN,18,Ñengo Flow,John Jay
HN,19,Corina Smith,Lyanno
HN,20,Ir Sais
HN,21,Cauty,Brray
HN,22,Joyce Santana,Big Soto
HN,23,BiSH
HN,24,Pabllo Vittar
HN,25,Lunay,Myke Towers,Ozuna
HN,26,Rauw Alejandro,Dalex,Lenny Tavárez
HN,27,Lary Over,Rauw Alejandro,Lil Geniuz
HN,28,Lola Indigo,Rauw Alejandro,Lalo Ebratt
HN,29,Camilo
HN,30,J Balvin
HN,31,Dalex
HN,32,Chimbala,Juan Magán,Omar Montes
HN,33,Jorge Milliano,Logan Romero
HN,34,Pabllo Vittar,Thalia
HN,35,Bizarrap,Don Patricio
HN,36,Mau y Ricky
HN,37,Leebrian,Cauty,Rauw Alejandro
HN,38,El Alfa,Lil Pump
HN,39,Ozuna
HN,40,Logan Romero
HN,41,Mark B.,Lunay,Lirico En La Casa
HN,42,J Balvin
HN,43,Ricky Martin,Residente,Bad Bunny
HN,44,Brytiago,Myke Towers
HN,45,Lunay
HN,46,Diamond la Mafia,Atomic Otro Way,Bulova
HN,47,MC Davo
HN,48,Ozuna
HN,49,Chucho Rivas,Lalo Ebratt
HN,50,Jonas Brothers
MX,1,Camilo
MX,2,DJ Snake,Selena Gomez
MX,3,Bruno Mars,Anderson .Paak,Silk Sonic
MX,4,Drake
MX,5,Ovi
MX,6,Justin Bieber
MX,7,Natti Natasha,Cazzu,Farina
MX,8,Siddhartha
MX,9,Kings of Leon
MX,10,Gera MX,Charles Ans,Nanpa Básico
MX,11,girl in red
MX,12,Mi Sobrino Memo
MX,13,Ferraz
MX,14,Dimitri Vegas
MX,15,Paulina Goto
MX,16,Zara Larsson
MX,17,No Te Va Gustar,Nicki Nicole
MX,18,Japanese Breakfast
MX,19,C. Tangana
MX,20,Becky G,Burna Boy
MX,21,Daddy Yankee
MX,22,Little Jesus,Ximena Sariñana,Elsa y Elmar
